Year	CPS_R-FDR_longcalib	PCR_R-FDR_longcalib	M08_R-FDR_longcalib	PAI_R-FDR_longcalib	OIE_R-FDR_longcalib	BHM_R-FDR_longcalib	LMR_R-FDR_longcalib
1253	-0.1918	-0.2309	-0.1441	-0.1323	-0.121	-0.3485	-0.1199
1254	-0.2733	-0.2989	-0.1396	-0.1889	-0.1553	-0.4356	-0.1827
1255	-0.1913	-0.2224	-0.1107	-0.1058	-0.1283	-0.3478	-0.119
1256	-0.2628	-0.2854	-0.17	-0.2977	-0.2154	-0.4339	-0.1558
1257	7e-04	-0.0744	-0.1886	-0.0101	-0.0516	-0.2978	-0.0657
1258	-0.3833	-0.4139	-0.1977	-0.417	-0.2714	-0.3536	-0.2664
1259	-0.3853	-0.3989	-0.2525	-0.4559	-0.3256	-0.465	-0.2378
1260	-0.3353	-0.3549	-0.2465	-0.3898	-0.2788	-0.4556	-0.1753
1261	-0.2973	-0.3194	-0.194	-0.3068	-0.2123	-0.4291	-0.1797
1262	-0.3323	-0.3299	-0.2248	-0.262	-0.1929	-0.3601	-0.1422
1263	-0.4513	-0.4699	-0.2423	-0.4473	-0.2793	-0.3963	-0.2324
1264	-0.3293	-0.3304	-0.2806	-0.3449	-0.2309	-0.4555	-0.199
1265	-0.3403	-0.3674	-0.2718	-0.4208	-0.2555	-0.4491	-0.2053
1266	-0.3078	-0.3549	-0.2837	-0.3372	-0.2183	-0.4346	-0.1831
1267	-0.3733	-0.3934	-0.3066	-0.4572	-0.3033	-0.5248	-0.2422
1268	-0.3723	-0.3809	-0.277	-0.3339	-0.273	-0.4778	-0.2233
1269	-0.2058	-0.2549	-0.2312	-0.1653	-0.1747	-0.4609	-0.1943
1270	-0.3298	-0.3664	-0.2544	-0.3027	-0.2776	-0.4776	-0.2154
1271	-0.3153	-0.3309	-0.2621	-0.2933	-0.2407	-0.4737	-0.2145
1272	-0.2758	-0.2929	-0.1938	-0.2324	-0.2165	-0.4513	-0.2094
1273	-0.3078	-0.3389	-0.2661	-0.2924	-0.2446	-0.4466	-0.2162
1274	-0.2918	-0.3124	-0.3357	-0.2236	-0.2512	-0.4621	-0.1635
1275	-0.2303	-0.2549	-0.2836	-0.1129	-0.1713	-0.4597	-0.1606
1276	-0.2793	-0.3074	-0.2923	-0.2769	-0.2485	-0.5278	-0.1858
1277	-0.3323	-0.3499	-0.2871	-0.2913	-0.2988	-0.4855	-0.2187
1278	-0.4508	-0.4709	-0.3214	-0.4771	-0.3889	-0.5794	-0.2831
1279	-0.2733	-0.2899	-0.2664	-0.2389	-0.2438	-0.4602	-0.1858
1280	-0.3123	-0.3574	-0.2585	-0.2439	-0.2316	-0.4758	-0.1945
1281	-0.3178	-0.3474	-0.2718	-0.28	-0.3029	-0.4996	-0.2042
1282	-0.2903	-0.3154	-0.2112	-0.2365	-0.2806	-0.4612	-0.1545
1283	-0.2573	-0.2859	-0.2498	-0.2441	-0.2853	-0.4789	-0.1483
1284	-0.3318	-0.3609	-0.2339	-0.3286	-0.274	-0.4543	-0.1723
1285	-0.3058	-0.3369	-0.249	-0.2932	-0.2411	-0.4146	-0.1709
1286	-0.2748	-0.2684	-0.2757	-0.1798	-0.2155	-0.4194	-0.1291
1287	-0.3123	-0.3549	-0.2688	-0.362	-0.2681	-0.4542	-0.2142
1288	-0.3983	-0.4244	-0.2795	-0.3857	-0.3157	-0.4208	-0.2164
1289	-0.3533	-0.3884	-0.2796	-0.3428	-0.2768	-0.4262	-0.2074
1290	-0.3638	-0.4039	-0.3307	-0.4065	-0.2985	-0.4777	-0.211
1291	-0.4073	-0.4219	-0.2898	-0.5132	-0.3736	-0.4514	-0.2755
1292	-0.3938	-0.4539	-0.404	-0.3904	-0.3801	-0.4631	-0.2345
1293	-0.3543	-0.4319	-0.3707	-0.3869	-0.3205	-0.4735	-0.1962
1294	-0.4023	-0.4459	-0.3432	-0.45	-0.3631	-0.4817	-0.2166
1295	-0.2893	-0.3439	-0.2955	-0.3069	-0.3091	-0.4189	-0.1864
1296	-0.3923	-0.4024	-0.2996	-0.5395	-0.3375	-0.3775	-0.2495
1297	-0.3758	-0.4169	-0.325	-0.3915	-0.3458	-0.4239	-0.2163
1298	-0.3483	-0.3804	-0.3056	-0.3424	-0.2962	-0.3855	-0.2153
1299	-0.3693	-0.4139	-0.3299	-0.3895	-0.3648	-0.4254	-0.2302
1300	-0.3853	-0.3859	-0.2426	-0.3734	-0.2994	-0.409	-0.2105
1301	-0.3418	-0.3639	-0.2778	-0.296	-0.2846	-0.4035	-0.2096
1302	-0.4303	-0.4609	-0.2458	-0.504	-0.3737	-0.3447	-0.2885
1303	-0.3103	-0.3429	-0.2091	-0.3626	-0.2967	-0.3644	-0.249
1304	-0.3548	-0.3869	-0.2003	-0.381	-0.2553	-0.3699	-0.2487
1305	-0.3488	-0.3899	-0.2226	-0.3173	-0.2614	-0.3533	-0.2296
1306	-0.2308	-0.2494	-0.1111	-0.1889	-0.1582	-0.3528	-0.1283
1307	-0.2748	-0.3349	-0.0978	-0.261	-0.223	-0.3386	-0.2018
1308	-0.2403	-0.2639	-0.1887	-0.2607	-0.2153	-0.338	-0.202
1309	-0.3653	-0.3889	-0.1863	-0.4244	-0.2469	-0.3777	-0.2145
1310	-0.2523	-0.2779	-0.1449	-0.2504	-0.1538	-0.4192	-0.1645
1311	-0.1853	-0.2114	-0.1563	-0.0901	-0.0971	-0.3471	-0.1413
1312	-0.3358	-0.3539	-0.2318	-0.3709	-0.2356	-0.4042	-0.2129
1313	-0.2628	-0.2749	-0.1817	-0.1419	-0.1679	-0.3125	-0.1382
1314	-0.2978	-0.2909	-0.2229	-0.2291	-0.192	-0.253	-0.1723
1315	-0.2133	-0.2529	-0.1654	-0.1807	-0.1592	-0.2977	-0.183
1316	-0.1788	-0.2189	-0.1628	-0.1236	-0.1138	-0.3055	-0.1283
1317	-0.2423	-0.2709	-0.2054	-0.259	-0.205	-0.3556	-0.1642
1318	-0.2068	-0.2399	-0.0852	-0.1869	-0.1509	-0.3485	-0.1617
1319	-0.2733	-0.3089	-0.1442	-0.3446	-0.2376	-0.3526	-0.1996
1320	-0.1743	-0.2139	-0.1172	-0.1921	-0.2182	-0.2727	-0.1359
1321	-0.2468	-0.2509	-0.1964	-0.2588	-0.2893	-0.3255	-0.1355
1322	-0.2633	-0.2869	-0.1862	-0.2544	-0.3026	-0.3371	-0.196
1323	-0.2653	-0.2919	-0.1969	-0.1622	-0.2577	-0.3651	-0.2079
1324	-0.1848	-0.1884	-0.1923	-0.0261	-0.1514	-0.3327	-0.1399
1325	-0.1663	-0.1439	-0.107	-0.0657	-0.1379	-0.2643	-0.1371
1326	-0.2043	-0.2184	-0.1381	-0.0831	-0.1603	-0.3358	-0.1374
1327	-0.1373	-0.1444	-0.1977	-0.0984	-0.1235	-0.2791	-0.1249
1328	-0.2223	-0.2174	-0.2555	-0.2084	-0.2044	-0.3078	-0.1052
1329	-0.1988	-0.1739	-0.1439	-0.1364	-0.1579	-0.2442	-0.1388
1330	-0.2988	-0.2769	-0.1383	-0.325	-0.2091	-0.3975	-0.2225
1331	-0.1868	-0.1774	-0.0643	-0.1328	-0.0812	-0.4598	-0.1384
1332	-0.4053	-0.3929	-0.1671	-0.4854	-0.2838	-0.4609	-0.2041
1333	-0.3283	-0.3009	-0.1718	-0.2698	-0.2364	-0.4441	-0.142
1334	-0.2163	-0.2234	-0.1766	-0.2449	-0.1644	-0.4021	-0.1534
1335	-0.3488	-0.3279	-0.2035	-0.4201	-0.246	-0.4292	-0.2527
1336	-0.4043	-0.3854	-0.2449	-0.3596	-0.208	-0.4221	-0.2698
1337	-0.3198	-0.3439	-0.2337	-0.4381	-0.2618	-0.4243	-0.2281
1338	-0.3823	-0.3829	-0.2276	-0.444	-0.2419	-0.4488	-0.2816
1339	-0.2828	-0.2679	-0.2505	-0.2689	-0.1684	-0.4587	-0.2003
1340	-0.2693	-0.2934	-0.284	-0.3293	-0.2287	-0.4883	-0.1514
1341	-0.2973	-0.3049	-0.2458	-0.3777	-0.2973	-0.4326	-0.2077
1342	-0.3083	-0.3099	-0.3122	-0.3895	-0.3245	-0.4002	-0.2463
1343	-0.2273	-0.2484	-0.2795	-0.3127	-0.255	-0.3965	-0.1622
1344	-0.4233	-0.4489	-0.3428	-0.5291	-0.3863	-0.4969	-0.2814
1345	-0.3633	-0.3829	-0.3164	-0.4837	-0.2893	-0.4695	-0.2755
1346	-0.4143	-0.4234	-0.3567	-0.4991	-0.3692	-0.5448	-0.3024
1347	-0.3973	-0.4059	-0.3181	-0.5273	-0.3725	-0.5284	-0.2887
1348	-0.5073	-0.4964	-0.322	-0.6152	-0.4042	-0.6267	-0.3217
1349	-0.4358	-0.4109	-0.2978	-0.4574	-0.3312	-0.6446	-0.2409
1350	-0.4633	-0.4609	-0.3179	-0.552	-0.3879	-0.5804	-0.3108
1351	-0.3028	-0.3239	-0.2783	-0.2686	-0.2459	-0.5634	-0.1703
1352	-0.3743	-0.3789	-0.2957	-0.4534	-0.3495	-0.5669	-0.2302
1353	-0.4193	-0.4349	-0.3076	-0.5175	-0.415	-0.5941	-0.2719
1354	-0.3258	-0.3879	-0.3134	-0.4508	-0.3057	-0.5439	-0.2493
1355	-0.3753	-0.4059	-0.3206	-0.5105	-0.328	-0.5749	-0.3041
1356	-0.3013	-0.3359	-0.3514	-0.4566	-0.2884	-0.4803	-0.2559
1357	-0.3233	-0.3154	-0.3187	-0.3892	-0.2598	-0.4948	-0.2106
1358	-0.3603	-0.3699	-0.3106	-0.407	-0.268	-0.5311	-0.2617
1359	-0.3553	-0.4079	-0.3762	-0.4252	-0.3298	-0.5457	-0.2735
1360	-0.4258	-0.4569	-0.316	-0.4385	-0.3528	-0.5492	-0.3159
1361	-0.4353	-0.4539	-0.3095	-0.4407	-0.4028	-0.5342	-0.28
1362	-0.3593	-0.3809	-0.2651	-0.3954	-0.3798	-0.5553	-0.2193
1363	-0.4298	-0.3969	-0.2461	-0.5367	-0.4335	-0.5417	-0.287
1364	-0.2593	-0.2569	-0.1322	-0.3137	-0.2848	-0.4018	-0.149
1365	-0.3053	-0.3189	-0.1989	-0.3108	-0.2828	-0.4137	-0.1827
1366	-0.2173	-0.2319	-0.167	-0.1937	-0.2052	-0.4105	-0.184
1367	-0.2523	-0.2534	-0.2151	-0.3255	-0.2048	-0.4432	-0.1992
1368	-0.1523	-0.1889	-0.1472	-0.1663	-0.1514	-0.3741	-0.1471
1369	-0.3398	-0.3389	-0.1029	-0.4223	-0.2861	-0.4778	-0.2828
1370	-0.3403	-0.3554	-0.2001	-0.4003	-0.3098	-0.5329	-0.2382
1371	-0.3373	-0.3519	-0.1545	-0.2821	-0.2246	-0.4356	-0.2506
1372	-0.2133	-0.2189	-0.1199	-0.1086	-0.1483	-0.4288	-0.1815
1373	-0.2998	-0.2989	-0.1985	-0.2162	-0.2355	-0.4894	-0.1834
1374	-0.1793	-0.1789	-0.1409	-0.1393	-0.1474	-0.4767	-0.1364
1375	-0.3288	-0.3169	-0.27	-0.3587	-0.2417	-0.5613	-0.2455
1376	-0.2693	-0.2684	-0.2431	-0.255	-0.2462	-0.5455	-0.1921
1377	-0.3608	-0.3699	-0.2611	-0.4233	-0.3846	-0.5365	-0.2672
1378	-0.2763	-0.2949	-0.244	-0.3158	-0.3093	-0.5527	-0.1977
1379	-0.2523	-0.2569	-0.2876	-0.3631	-0.3267	-0.5685	-0.1977
1380	-0.2638	-0.2494	-0.2636	-0.3065	-0.2935	-0.4833	-0.1742
1381	-0.1733	-0.1599	-0.2413	-0.2696	-0.2679	-0.4762	-0.1656
1382	-0.1873	-0.2029	-0.1984	-0.2979	-0.3155	-0.5302	-0.1818
1383	-0.2103	-0.1954	-0.2493	-0.2259	-0.3227	-0.503	-0.1915
1384	-0.2003	-0.1789	-0.2546	-0.2841	-0.3184	-0.4466	-0.1915
1385	-0.2348	-0.2124	-0.262	-0.2082	-0.2992	-0.4549	-0.1956
1386	-0.1613	-0.1389	-0.1657	-0.1203	-0.207	-0.4232	-0.1333
1387	-0.2733	-0.2679	-0.2207	-0.3305	-0.343	-0.4882	-0.2405
1388	-0.2623	-0.2659	-0.2429	-0.2911	-0.3472	-0.5585	-0.247
1389	-0.2733	-0.2849	-0.301	-0.243	-0.2997	-0.6036	-0.2327
1390	-0.2798	-0.2919	-0.226	-0.1972	-0.2524	-0.5856	-0.1744
1391	-0.2528	-0.2229	-0.1845	-0.1005	-0.3209	-0.4448	-0.1239
1392	-0.3433	-0.3574	-0.1365	-0.2474	-0.3698	-0.5428	-0.2294
1393	-0.2993	-0.2929	-0.1669	-0.264	-0.3241	-0.5601	-0.2021
1394	-0.2223	-0.2464	-0.2002	-0.1969	-0.2769	-0.5686	-0.17
1395	-0.3213	-0.3459	-0.2162	-0.3216	-0.3128	-0.5814	-0.2322
1396	-0.2873	-0.2794	-0.1534	-0.2933	-0.2948	-0.5361	-0.2145
1397	-0.2938	-0.3169	-0.2122	-0.2688	-0.3294	-0.5522	-0.2219
1398	-0.2988	-0.3309	-0.2673	-0.2615	-0.3984	-0.6076	-0.2525
1399	-0.3993	-0.4189	-0.2254	-0.4326	-0.4179	-0.6161	-0.3015
1400	-0.3713	-0.3614	-0.2197	-0.3492	-0.3685	-0.481	-0.2302
1401	-0.3013	-0.2679	-0.1284	-0.2705	-0.3048	-0.4143	-0.1881
1402	-0.2893	-0.2934	-0.1002	-0.2514	-0.3057	-0.3827	-0.1627
1403	-0.2428	-0.2004	-0.1354	-0.2214	-0.2972	-0.3761	-0.0805
1404	-0.1948	-0.1709	-0.0916	-0.1765	-0.2631	-0.3603	-0.0868
1405	-0.2823	-0.2419	-0.0989	-0.2888	-0.3131	-0.3986	-0.1569
1406	-0.1453	-0.1549	-0.0784	-0.0573	-0.2172	-0.4249	-0.1008
1407	-0.2608	-0.2269	-0.0674	-0.2793	-0.3171	-0.3975	-0.1587
1408	-0.2443	-0.2559	-0.1938	-0.2409	-0.3179	-0.45	-0.1626
1409	-0.2213	-0.2159	-0.138	-0.2428	-0.2979	-0.4652	-0.1832
1410	-0.2748	-0.2574	-0.1574	-0.2875	-0.3696	-0.4683	-0.224
1411	-0.1798	-0.1724	-0.113	-0.1452	-0.2938	-0.4136	-0.1489
1412	-0.2293	-0.1984	-0.1888	-0.2898	-0.3382	-0.4648	-0.1931
1413	-0.2113	-0.2079	-0.1995	-0.2541	-0.3064	-0.5047	-0.1591
1414	-0.3118	-0.3049	-0.2823	-0.3784	-0.3764	-0.6271	-0.2508
1415	-0.2173	-0.2419	-0.2082	-0.2542	-0.2927	-0.4712	-0.1765
1416	-0.2868	-0.2499	-0.1967	-0.3478	-0.3091	-0.4958	-0.1643
1417	-0.2813	-0.2799	-0.2061	-0.364	-0.3113	-0.5021	-0.2012
1418	-0.2743	-0.2909	-0.2915	-0.2872	-0.3286	-0.5018	-0.1931
1419	-0.3088	-0.3019	-0.2406	-0.2673	-0.3506	-0.5472	-0.2133
1420	-0.2413	-0.2479	-0.1746	-0.1828	-0.2435	-0.4889	-0.1467
1421	-0.2043	-0.2079	-0.2591	-0.1874	-0.2036	-0.4077	-0.1318
1422	-0.3158	-0.3039	-0.1927	-0.3094	-0.3296	-0.4807	-0.2348
1423	-0.3158	-0.3439	-0.2222	-0.3323	-0.3272	-0.5197	-0.2564
1424	-0.1683	-0.1959	-0.1705	-0.0799	-0.2449	-0.3968	-0.146
1425	-0.2203	-0.2409	-0.1418	-0.2295	-0.3088	-0.4038	-0.1692
1426	-0.2123	-0.2159	-0.1353	-0.315	-0.2769	-0.4127	-0.1834
1427	-0.1803	-0.1989	-0.1026	-0.2007	-0.2639	-0.3777	-0.1626
1428	-0.1983	-0.2234	-0.1403	-0.2374	-0.1991	-0.3679	-0.1462
1429	-0.2063	-0.2394	-0.175	-0.2054	-0.249	-0.4406	-0.1389
1430	-0.2603	-0.2729	-0.184	-0.2362	-0.3184	-0.499	-0.1555
1431	-0.1683	-0.1634	-0.1625	-0.1015	-0.226	-0.3996	-0.1089
1432	-0.1783	-0.1999	-0.1285	-0.1254	-0.2604	-0.4442	-0.1257
1433	-0.2563	-0.2829	-0.1644	-0.2496	-0.3007	-0.4098	-0.1657
1434	-0.1833	-0.2249	-0.1828	-0.266	-0.3098	-0.4218	-0.1748
1435	-0.2358	-0.2489	-0.2093	-0.2611	-0.2777	-0.5108	-0.1997
1436	-0.2743	-0.2409	-0.1446	-0.2316	-0.2476	-0.4731	-0.1762
1437	-0.2013	-0.2119	-0.1986	-0.1791	-0.2382	-0.5294	-0.1356
1438	-0.3523	-0.3439	-0.2178	-0.385	-0.3929	-0.5505	-0.1997
1439	-0.3293	-0.3529	-0.3225	-0.3552	-0.45	-0.613	-0.1735
1440	-0.3173	-0.3209	-0.2831	-0.3051	-0.444	-0.5275	-0.1616
1441	-0.3083	-0.3104	-0.1768	-0.3905	-0.3867	-0.5025	-0.1945
1442	-0.3503	-0.3304	-0.24	-0.3491	-0.4053	-0.5069	-0.1833
1443	-0.2803	-0.2659	-0.2818	-0.2475	-0.3117	-0.4764	-0.146
1444	-0.3268	-0.3319	-0.3284	-0.3405	-0.4041	-0.5415	-0.177
1445	-0.2228	-0.2199	-0.2835	-0.2112	-0.2871	-0.5019	-0.1396
1446	-0.3023	-0.2864	-0.3051	-0.3804	-0.3513	-0.557	-0.1946
1447	-0.2913	-0.2734	-0.3619	-0.3459	-0.3087	-0.5401	-0.1592
1448	-0.3758	-0.3349	-0.3625	-0.5213	-0.4448	-0.5525	-0.2683
1449	-0.3833	-0.3734	-0.3611	-0.4992	-0.4343	-0.582	-0.2606
1450	-0.4233	-0.4209	-0.3389	-0.4961	-0.4659	-0.5817	-0.286
1451	-0.3473	-0.3059	-0.3793	-0.4234	-0.3975	-0.5599	-0.2085
1452	-0.3703	-0.3389	-0.3731	-0.4417	-0.4363	-0.5522	-0.2417
1453	-0.5048	-0.5049	-0.4924	-0.605	-0.4916	-0.6835	-0.3846
1454	-0.4013	-0.3959	-0.4153	-0.5163	-0.4348	-0.6626	-0.3302
1455	-0.5193	-0.5009	-0.5034	-0.6873	-0.5181	-0.7626	-0.3493
1456	-0.5148	-0.4799	-0.5017	-0.6673	-0.5287	-0.7278	-0.3662
1457	-0.4613	-0.4069	-0.498	-0.5891	-0.5149	-0.7105	-0.3605
1458	-0.4173	-0.3534	-0.4705	-0.5913	-0.4769	-0.7145	-0.2909
1459	-0.4788	-0.4314	-0.4062	-0.5214	-0.5368	-0.6013	-0.3225
1460	-0.3913	-0.3449	-0.3734	-0.4205	-0.3763	-0.546	-0.2459
1461	-0.5023	-0.4689	-0.3844	-0.5226	-0.4948	-0.557	-0.3332
1462	-0.4513	-0.3929	-0.3776	-0.4792	-0.4408	-0.6096	-0.2789
1463	-0.4873	-0.4599	-0.4136	-0.5064	-0.4763	-0.6717	-0.3487
1464	-0.4743	-0.4169	-0.4117	-0.5163	-0.4316	-0.7189	-0.3
1465	-0.4023	-0.3764	-0.3541	-0.4424	-0.4171	-0.6426	-0.2978
1466	-0.5213	-0.4864	-0.3853	-0.6593	-0.495	-0.7431	-0.3558
1467	-0.4223	-0.3834	-0.3188	-0.5237	-0.4297	-0.6811	-0.2891
1468	-0.4333	-0.4484	-0.3907	-0.5276	-0.4026	-0.7275	-0.3338
1469	-0.4183	-0.4139	-0.3676	-0.4533	-0.389	-0.7139	-0.3057
1470	-0.3573	-0.3619	-0.3452	-0.4688	-0.3685	-0.6332	-0.3138
1471	-0.4258	-0.4794	-0.4142	-0.5894	-0.4522	-0.6392	-0.3158
1472	-0.4903	-0.5159	-0.4532	-0.5955	-0.4646	-0.7036	-0.3507
1473	-0.4693	-0.4804	-0.4085	-0.5568	-0.4173	-0.7157	-0.2984
1474	-0.5023	-0.5299	-0.4315	-0.7118	-0.4946	-0.7019	-0.3514
1475	-0.4168	-0.4819	-0.4754	-0.5636	-0.4726	-0.6725	-0.3129
1476	-0.4698	-0.5069	-0.4349	-0.6493	-0.522	-0.7264	-0.2986
1477	-0.4128	-0.4329	-0.3756	-0.5492	-0.4085	-0.6414	-0.3022
1478	-0.3493	-0.4129	-0.4311	-0.4466	-0.4375	-0.6514	-0.2466
1479	-0.4063	-0.4509	-0.3705	-0.4257	-0.4003	-0.6096	-0.2903
1480	-0.3643	-0.3914	-0.41	-0.5632	-0.3256	-0.6628	-0.2769
1481	-0.4173	-0.4434	-0.3683	-0.5596	-0.4504	-0.6046	-0.3451
1482	-0.3063	-0.3294	-0.3148	-0.4773	-0.2826	-0.5909	-0.2623
1483	-0.4213	-0.4529	-0.3545	-0.608	-0.4446	-0.664	-0.2951
1484	-0.2953	-0.2999	-0.2403	-0.3515	-0.3436	-0.5344	-0.2192
1485	-0.2843	-0.3249	-0.2049	-0.3646	-0.3678	-0.6184	-0.2243
1486	-0.3703	-0.4019	-0.2399	-0.4252	-0.378	-0.6241	-0.2943
1487	-0.3443	-0.3669	-0.2226	-0.3303	-0.3452	-0.5661	-0.2436
1488	-0.3613	-0.3729	-0.2389	-0.3481	-0.3151	-0.6499	-0.2492
1489	-0.2513	-0.2694	-0.2169	-0.2202	-0.2576	-0.5626	-0.1732
1490	-0.2843	-0.3049	-0.1594	-0.1965	-0.3054	-0.5503	-0.1753
1491	-0.3123	-0.3304	-0.1773	-0.2957	-0.3009	-0.5946	-0.2307
1492	-0.3703	-0.4234	-0.2445	-0.4103	-0.3472	-0.6488	-0.2724
1493	-0.3303	-0.3539	-0.2342	-0.3633	-0.3825	-0.5888	-0.2301
1494	-0.3438	-0.3499	-0.2283	-0.3729	-0.3844	-0.5807	-0.2492
1495	-0.4008	-0.3884	-0.2855	-0.4071	-0.4167	-0.627	-0.2851
1496	-0.3153	-0.3249	-0.2332	-0.2914	-0.3659	-0.5734	-0.2437
1497	-0.4283	-0.4374	-0.3519	-0.4463	-0.4613	-0.728	-0.311
1498	-0.4243	-0.4349	-0.316	-0.4874	-0.394	-0.6383	-0.3347
1499	-0.3143	-0.3519	-0.3399	-0.3134	-0.3622	-0.6137	-0.2345
1500	-0.2803	-0.3359	-0.3689	-0.372	-0.4004	-0.604	-0.2157
1501	-0.2423	-0.3094	-0.3936	-0.2903	-0.3928	-0.6275	-0.213
1502	-0.2583	-0.3129	-0.3367	-0.3256	-0.4152	-0.5647	-0.2137
1503	-0.2933	-0.3229	-0.3282	-0.3628	-0.4238	-0.5978	-0.2123
1504	-0.2223	-0.2749	-0.3722	-0.2265	-0.3262	-0.6505	-0.1522
1505	-0.2213	-0.2784	-0.3023	-0.357	-0.3736	-0.5844	-0.1842
1506	-0.2333	-0.2939	-0.2909	-0.2755	-0.3106	-0.643	-0.1457
1507	-0.2963	-0.3349	-0.3645	-0.3161	-0.3712	-0.6604	-0.1671
1508	-0.2683	-0.2989	-0.2671	-0.2454	-0.2878	-0.5849	-0.1895
1509	-0.3028	-0.3149	-0.2586	-0.3084	-0.328	-0.6008	-0.2122
1510	-0.2453	-0.2719	-0.2951	-0.1827	-0.3935	-0.6414	-0.1653
1511	-0.3083	-0.3414	-0.2532	-0.4029	-0.3927	-0.6105	-0.2392
1512	-0.2248	-0.2534	-0.2931	-0.2181	-0.301	-0.6195	-0.1384
1513	-0.3078	-0.3344	-0.2649	-0.2383	-0.3357	-0.5946	-0.1961
1514	-0.3083	-0.3244	-0.2534	-0.3108	-0.3702	-0.59	-0.2005
1515	-0.3023	-0.3469	-0.3206	-0.3235	-0.4036	-0.664	-0.2329
1516	-0.3748	-0.4019	-0.3859	-0.4427	-0.399	-0.7013	-0.2579
1517	-0.2883	-0.3204	-0.3647	-0.3015	-0.3338	-0.6416	-0.2199
1518	-0.3053	-0.3569	-0.3571	-0.4384	-0.4072	-0.6846	-0.229
1519	-0.2738	-0.3309	-0.3903	-0.3877	-0.4533	-0.6814	-0.1758
1520	-0.3248	-0.3699	-0.3621	-0.4355	-0.4405	-0.6811	-0.2472
1521	-0.3168	-0.3719	-0.401	-0.4153	-0.4803	-0.7435	-0.2713
1522	-0.3413	-0.3849	-0.411	-0.4372	-0.4835	-0.7347	-0.2626
1523	-0.3293	-0.3629	-0.3834	-0.5035	-0.4609	-0.7385	-0.2923
1524	-0.3398	-0.3659	-0.4278	-0.4672	-0.4549	-0.6998	-0.2892
1525	-0.2683	-0.2809	-0.3478	-0.3574	-0.3536	-0.688	-0.2156
1526	-0.3228	-0.3299	-0.2823	-0.3964	-0.3994	-0.6205	-0.2067
1527	-0.2193	-0.2309	-0.3268	-0.2436	-0.3357	-0.6277	-0.1923
1528	-0.3258	-0.3479	-0.3666	-0.4502	-0.4307	-0.7093	-0.2572
1529	-0.2598	-0.2819	-0.3239	-0.3606	-0.3708	-0.6667	-0.21
1530	-0.1983	-0.2349	-0.3367	-0.2011	-0.3134	-0.6662	-0.15
1531	-0.2398	-0.2889	-0.3778	-0.28	-0.3057	-0.6584	-0.1964
1532	-0.2578	-0.2944	-0.3616	-0.2395	-0.3441	-0.662	-0.2128
1533	-0.3023	-0.3669	-0.3008	-0.3599	-0.3934	-0.6668	-0.2505
1534	-0.2573	-0.3054	-0.2534	-0.3556	-0.3849	-0.6411	-0.2124
1535	-0.1988	-0.2059	-0.2338	-0.2474	-0.3727	-0.5737	-0.1699
1536	-0.2713	-0.2659	-0.2263	-0.2931	-0.3929	-0.5923	-0.1776
1537	-0.2273	-0.2559	-0.2765	-0.1808	-0.3673	-0.5742	-0.194
1538	-0.2448	-0.2744	-0.3108	-0.2538	-0.4006	-0.5771	-0.2048
1539	-0.1708	-0.1899	-0.2778	-0.1819	-0.3487	-0.5194	-0.1807
1540	-0.2593	-0.3049	-0.3975	-0.3454	-0.4492	-0.5743	-0.2616
1541	-0.2428	-0.2819	-0.3838	-0.3449	-0.3864	-0.6438	-0.2324
1542	-0.3173	-0.3439	-0.4451	-0.4273	-0.431	-0.6893	-0.3188
1543	-0.3273	-0.3774	-0.4036	-0.4965	-0.4629	-0.6292	-0.3111
1544	-0.3533	-0.3919	-0.4156	-0.556	-0.5189	-0.7083	-0.3487
1545	-0.2263	-0.2429	-0.317	-0.2755	-0.3666	-0.6042	-0.1849
1546	-0.3053	-0.3099	-0.3445	-0.3592	-0.3938	-0.6263	-0.2373
1547	-0.2793	-0.3269	-0.3135	-0.4065	-0.3785	-0.6147	-0.2518
1548	-0.3008	-0.3459	-0.4044	-0.294	-0.3873	-0.6404	-0.2532
1549	-0.3123	-0.3539	-0.35	-0.361	-0.3358	-0.6938	-0.2759
1550	-0.2003	-0.2649	-0.2809	-0.2716	-0.3264	-0.5912	-0.1325
1551	-0.2103	-0.2404	-0.2627	-0.2202	-0.3148	-0.5744	-0.1399
1552	-0.1853	-0.2209	-0.2964	-0.2144	-0.3527	-0.6024	-0.1749
1553	-0.2783	-0.2894	-0.2227	-0.2247	-0.3485	-0.5223	-0.221
1554	-0.2953	-0.3229	-0.2453	-0.3197	-0.3828	-0.6042	-0.2377
1555	-0.2618	-0.3079	-0.2793	-0.3725	-0.3882	-0.5686	-0.2663
1556	-0.2623	-0.3009	-0.2084	-0.3121	-0.3532	-0.5604	-0.2329
1557	-0.2878	-0.2859	-0.2164	-0.4025	-0.3759	-0.5924	-0.297
1558	-0.1963	-0.2249	-0.1379	-0.2493	-0.3478	-0.5965	-0.2353
1559	-0.3343	-0.3359	-0.1685	-0.3842	-0.3915	-0.6415	-0.2841
1560	-0.2033	-0.2199	-0.1633	-0.2076	-0.2869	-0.5402	-0.194
1561	-0.2338	-0.2839	-0.2425	-0.2529	-0.3715	-0.5168	-0.1775
1562	-0.2138	-0.2654	-0.2234	-0.1774	-0.3483	-0.5239	-0.1482
1563	-0.1613	-0.2229	-0.1386	-0.1099	-0.3597	-0.4812	-0.1729
